Interval=	0.001 s
ExcelDateTime=	4.4558456458398046e+004	12/28/2021 10:57:18.005592
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
1.394	634.06
1.395	633.28
1.396	634.06
1.397	634.06
1.398	633.75
1.399	633.75
1.4	660.31
1.401	660.31
1.402	660.00
1.403	660.47
1.404	660.00
1.405	660.00
1.406	660.47
1.407	660.78
1.408	660.63
1.409	660.00
1.41	660.00
1.411	660.00
1.412	659.84
1.413	659.69
1.414	660.31
1.415	659.84
1.416	660.00
1.417	660.16
1.418	660.31
1.419	660.00
1.42	660.63
1.421	679.69
1.422	678.91
1.423	678.91
1.424	678.44
1.425	678.91
1.426	679.06
1.427	678.91
1.428	678.75
1.429	678.13
1.43	679.06
1.431	679.06
1.432	678.75
1.433	678.91
1.434	679.06
1.435	679.06
1.436	679.53
1.437	679.06
1.438	679.22
1.439	678.13
1.44	698.75
1.441	698.13
1.442	698.59
1.443	698.91
1.444	697.81
1.445	698.13
1.446	698.44
1.447	698.44
1.448	698.59
1.449	698.44
1.45	698.28
1.451	698.59
1.452	697.66
1.453	698.59
1.454	698.28
1.455	698.44
1.456	698.13
1.457	698.75
1.458	698.44
1.459	698.75
1.46	698.28
1.461	727.97
1.462	728.13
1.463	728.44
1.464	727.81
1.465	728.13
1.466	728.28
1.467	728.75
1.468	728.28
1.469	728.13
1.47	728.75
1.471	728.59
1.472	728.91
1.473	728.59
1.474	728.13
1.475	728.44
1.476	728.75
1.477	728.13
1.478	728.28
1.479	728.44
1.48	760.63
1.481	760.78
1.482	760.78
1.483	760.63
1.484	760.78
1.485	760.94
1.486	760.94
1.487	761.72
1.488	760.31
1.489	760.31
1.49	760.31
1.491	760.63
1.492	760.63
1.493	761.09
1.494	760.63
1.495	760.47
1.496	760.94
1.497	761.25
1.498	761.25
1.499	760.47
1.5	761.09
1.501	789.22
1.502	789.22
1.503	789.69
1.504	789.69
1.505	789.22
1.506	789.69
1.507	788.44
1.508	789.06
1.509	789.38
1.51	789.38
1.511	789.22
1.512	790.16
1.513	789.22
1.514	789.38
1.515	789.38
1.516	789.69
1.517	789.69
1.518	789.06
1.519	789.22
1.52	810.94
1.521	810.94
1.522	810.94
1.523	811.25
1.524	811.25
1.525	811.25
1.526	811.25
1.527	811.41
1.528	810.63
1.529	811.41
1.53	811.56
1.531	811.25
1.532	811.41
1.533	811.56
1.534	811.25
1.535	811.88
1.536	810.94
1.537	811.88
1.538	811.09
1.539	811.56
1.54	810.94
1.541	831.09
1.542	830.47
1.543	830.63
1.544	830.31
1.545	831.25
1.546	830.47
1.547	830.94
1.548	831.25
1.549	830.94
1.55	830.94
1.551	831.09
1.552	831.09
1.553	831.09
1.554	831.09
1.555	830.47
1.556	831.09
1.557	831.41
1.558	830.94
1.559	830.47
1.56	845.31
1.561	845.78
1.562	845.63
1.563	845.78
1.564	845.63
1.565	846.09
1.566	846.41
1.567	845.94
1.568	846.25
1.569	846.25
1.57	845.94
1.571	845.94
1.572	845.94
1.573	845.63
1.574	846.25
1.575	846.25
1.576	846.09
1.577	846.56
1.578	845.94
1.579	845.78
1.58	845.78
1.581	843.13
1.582	844.06
1.583	843.75
1.584	843.44
1.585	843.28
1.586	843.44
1.587	843.91
1.588	842.81
1.589	843.44
1.59	843.44
1.591	843.44
1.592	843.59
1.593	842.81
1.594	844.06
1.595	843.13
1.596	842.81
1.597	843.59
1.598	842.97
1.599	843.59
1.6	825.94
1.601	826.25
1.602	826.88
1.603	826.56
1.604	826.56
1.605	826.41
1.606	827.19
1.607	827.19
1.608	826.88
1.609	827.03
1.61	826.72
1.611	826.25
1.612	827.03
1.613	826.72
1.614	826.56
1.615	826.41
1.616	826.88
1.617	826.25
1.618	826.41
1.619	826.72
1.62	826.72
1.621	812.97
1.622	812.81
1.623	812.81
1.624	812.81
1.625	813.28
1.626	813.13
1.627	812.81
1.628	813.13
1.629	813.13
1.63	812.97
1.631	812.66
1.632	812.81
1.633	813.44
1.634	812.81
1.635	813.44
1.636	813.13
1.637	812.97
