Interval=	0.001 s
ExcelDateTime=	4.4558443160273120e+004	12/28/2021 10:38:09.047598
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.39	642.19
0.391	641.72
0.392	642.03
0.393	642.03
0.394	641.41
0.395	642.03
0.396	641.88
0.397	641.72
0.398	641.56
0.399	642.03
0.4	642.50
0.401	642.50
0.402	642.50
0.403	642.66
0.404	642.81
0.405	642.34
0.406	642.66
0.407	643.44
0.408	643.28
0.409	643.44
0.41	642.97
0.411	642.34
0.412	642.97
0.413	642.66
0.414	642.81
0.415	642.66
0.416	643.13
0.417	642.66
0.418	642.66
0.419	643.44
0.42	644.22
0.421	643.28
0.422	643.44
0.423	643.59
0.424	643.44
0.425	643.59
0.426	642.66
0.427	643.91
0.428	643.59
0.429	643.59
0.43	643.75
0.431	643.28
0.432	643.28
0.433	642.81
0.434	643.44
0.435	643.28
0.436	643.44
0.437	643.13
0.438	643.28
0.439	644.38
0.44	645.00
0.441	644.69
0.442	644.84
0.443	644.69
0.444	644.53
0.445	644.84
0.446	644.84
0.447	644.53
0.448	644.53
0.449	644.38
0.45	644.69
0.451	644.84
0.452	644.53
0.453	644.69
0.454	644.69
0.455	644.69
0.456	644.84
0.457	644.53
0.458	644.69
0.459	649.22
0.46	649.38
0.461	649.69
0.462	649.84
0.463	649.06
0.464	650.31
0.465	649.38
0.466	649.22
0.467	650.16
0.468	649.84
0.469	650.00
0.47	648.91
0.471	648.91
0.472	649.84
0.473	649.22
0.474	649.38
0.475	649.84
0.476	649.38
0.477	649.22
0.478	649.53
0.479	657.97
0.48	658.13
0.481	657.50
0.482	657.66
0.483	657.50
0.484	657.50
0.485	657.81
0.486	657.03
0.487	657.50
0.488	657.34
0.489	657.66
0.49	657.50
0.491	657.66
0.492	657.34
0.493	657.66
0.494	657.50
0.495	658.28
0.496	657.03
0.497	657.81
0.498	657.66
0.499	662.03
0.5	661.88
0.501	661.25
0.502	661.56
0.503	661.72
0.504	662.03
0.505	661.88
0.506	662.03
0.507	661.72
0.508	661.72
0.509	661.25
0.51	661.88
0.511	661.56
0.512	661.56
0.513	661.56
0.514	661.41
0.515	661.56
0.516	661.56
0.517	661.72
0.518	661.72
0.519	660.31
0.52	660.16
0.521	660.63
0.522	660.00
0.523	660.00
0.524	660.16
0.525	660.31
0.526	659.84
0.527	660.31
0.528	659.69
0.529	660.47
0.53	660.47
0.531	660.31
0.532	660.78
0.533	660.00
0.534	659.69
0.535	659.69
0.536	659.84
0.537	659.84
0.538	660.00
0.539	657.81
0.54	657.66
0.541	657.81
0.542	658.13
0.543	658.13
0.544	657.50
0.545	658.13
0.546	657.97
0.547	657.50
0.548	657.81
0.549	657.50
0.55	658.59
0.551	658.13
0.552	657.66
0.553	657.81
0.554	657.97
0.555	657.50
0.556	657.50
0.557	657.97
0.558	657.81
0.559	654.53
0.56	654.84
0.561	654.53
0.562	655.31
0.563	655.00
0.564	655.47
0.565	654.84
0.566	655.00
0.567	655.00
0.568	655.47
0.569	655.47
0.57	654.84
0.571	654.84
0.572	654.53
0.573	655.16
0.574	655.31
0.575	655.16
0.576	655.16
0.577	655.47
0.578	655.47
0.579	649.53
0.58	649.84
0.581	649.38
0.582	649.84
0.583	649.38
0.584	649.69
0.585	648.91
0.586	649.22
0.587	649.22
0.588	649.53
0.589	649.53
0.59	648.91
0.591	649.53
0.592	649.38
0.593	649.38
0.594	649.38
0.595	649.22
0.596	649.22
0.597	649.84
0.598	649.22
0.599	644.69
0.6	645.47
0.601	645.78
0.602	646.09
0.603	645.47
0.604	645.78
0.605	645.94
0.606	645.78
0.607	645.63
0.608	645.63
0.609	645.31
0.61	645.31
0.611	645.47
0.612	645.47
0.613	645.16
0.614	645.78
0.615	645.47
0.616	645.63
0.617	645.47
0.618	645.47
0.619	646.25
0.62	646.09
0.621	645.78
0.622	646.09
0.623	646.25
0.624	646.72
0.625	646.25
0.626	645.94
0.627	646.41
0.628	646.88
0.629	646.72
0.63	646.09
0.631	646.25
0.632	646.09
0.633	646.41
0.634	646.09
0.635	646.41
0.636	645.78
0.637	645.94
0.638	646.41
0.639	646.25
0.64	645.78
0.641	645.78
0.642	646.41
0.643	646.56
0.644	646.09
0.645	646.09
0.646	646.41
0.647	646.56
0.648	646.41
0.649	646.09
0.65	645.63
0.651	646.41
0.652	645.78
0.653	645.63
0.654	646.41
0.655	646.41
0.656	646.09
0.657	645.94
0.658	645.94
0.659	642.34
0.66	642.19
0.661	642.19
0.662	642.03
0.663	642.03
0.664	642.81
0.665	642.34
0.666	642.19
0.667	642.03
0.668	642.66
0.669	642.50
0.67	642.03
0.671	642.50
0.672	642.50
0.673	642.03
0.674	643.28
0.675	642.19
0.676	642.50
0.677	642.19
0.678	642.66
0.679	633.44
0.68	634.22
0.681	633.91
0.682	633.75
0.683	633.59
0.684	634.38
0.685	633.91
0.686	633.91
0.687	634.38
0.688	633.59
0.689	633.59
0.69	633.75
0.691	633.91
0.692	633.75
0.693	633.75
0.694	633.59
0.695	633.59
0.696	633.59
0.697	634.06
0.698	633.91
0.699	623.59
0.7	623.59
0.701	623.44
0.702	623.75
0.703	623.91
0.704	623.75
0.705	623.59
0.706	624.06
0.707	624.06
0.708	623.59
0.709	623.13
0.71	623.75
0.711	624.06
0.712	623.59
0.713	623.44
0.714	623.75
0.715	623.28
0.716	622.97
0.717	623.59
0.718	623.75
0.719	616.41
0.72	615.94
0.721	616.09
0.722	615.78
0.723	616.25
0.724	615.94
0.725	615.47
0.726	616.09
0.727	616.41
0.728	616.72
0.729	615.78
0.73	616.25
0.731	616.25
0.732	616.56
0.733	615.94
0.734	615.94
0.735	616.09
0.736	615.94
0.737	615.94
0.738	616.09
0.739	609.69
0.74	609.06
0.741	609.22
0.742	609.06
0.743	609.69
0.744	609.38
0.745	609.22
0.746	609.22
0.747	609.22
0.748	608.75
0.749	608.91
0.75	609.06
0.751	609.69
0.752	609.53
0.753	608.91
0.754	609.22
0.755	609.69
0.756	609.53
0.757	609.53
0.758	609.38
0.759	602.03
0.76	602.97
0.761	603.13
0.762	602.50
0.763	603.28
0.764	602.97
0.765	602.50
0.766	603.13
0.767	602.97
0.768	602.19
0.769	602.97
0.77	602.66
0.771	602.50
0.772	602.50
0.773	602.34
0.774	602.50
0.775	602.81
0.776	602.81
0.777	602.97
0.778	602.66
0.779	601.09
0.78	600.00
0.781	600.16
0.782	600.63
0.783	599.53
0.784	600.47
0.785	600.16
0.786	599.84
0.787	600.16
0.788	600.31
0.789	600.47
0.79	600.16
0.791	600.31
0.792	600.00
0.793	600.16
0.794	600.47
0.795	600.47
0.796	600.16
0.797	600.31
0.798	600.47
0.799	595.00
0.8	594.22
0.801	594.53
0.802	594.53
0.803	594.84
0.804	594.69
0.805	594.84
0.806	594.84
0.807	593.75
0.808	594.84
0.809	595.00
0.81	594.38
0.811	594.53
0.812	595.63
0.813	595.00
0.814	594.38
0.815	594.22
0.816	595.16
0.817	594.69
0.818	594.38
0.819	585.47
0.82	585.16
0.821	585.31
0.822	585.00
0.823	584.84
0.824	585.16
0.825	585.63
0.826	585.00
0.827	584.84
0.828	585.47
0.829	585.16
0.83	585.31
0.831	585.31
0.832	584.84
0.833	585.16
0.834	585.31
0.835	585.47
0.836	584.84
0.837	585.78
0.838	585.16
0.839	579.22
0.84	579.22
0.841	579.22
0.842	579.06
0.843	579.22
0.844	578.91
0.845	578.91
0.846	579.06
0.847	579.53
0.848	579.38
0.849	579.69
0.85	579.06
0.851	579.53
0.852	579.22
0.853	579.53
0.854	579.06
0.855	579.22
0.856	579.22
0.857	578.75
0.858	578.91
0.859	575.16
0.86	575.78
0.861	576.41
0.862	575.47
0.863	575.63
0.864	575.63
0.865	575.78
0.866	575.63
0.867	575.63
0.868	575.63
0.869	575.63
0.87	575.63
0.871	575.78
0.872	575.47
0.873	575.47
0.874	575.63
0.875	575.94
0.876	575.31
0.877	574.69
0.878	575.16
0.879	575.47
0.88	575.31
0.881	575.63
0.882	574.84
0.883	575.63
0.884	575.47
0.885	575.00
0.886	575.47
0.887	575.47
0.888	575.63
0.889	575.16
0.89	575.31
0.891	575.78
0.892	575.16
0.893	575.00
0.894	575.31
0.895	575.31
0.896	575.78
0.897	575.31
0.898	574.84
0.899	583.75
0.9	583.75
0.901	583.75
0.902	583.28
0.903	583.28
0.904	583.59
0.905	583.28
0.906	583.28
