Interval=	0.001 s
ExcelDateTime=	4.4558451867772063e+004	12/28/2021 10:50:41.375506
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.934	402.34
0.935	439.38
0.936	439.22
0.937	439.22
0.938	439.69
0.939	439.22
0.94	439.06
0.941	439.38
0.942	438.59
0.943	439.22
0.944	439.22
0.945	439.06
0.946	438.91
0.947	439.38
0.948	439.06
0.949	439.06
0.95	439.53
0.951	439.06
0.952	439.84
0.953	439.22
0.954	439.06
0.955	466.09
0.956	465.63
0.957	465.63
0.958	465.78
0.959	466.09
0.96	466.09
0.961	465.31
0.962	466.25
0.963	465.78
0.964	466.41
0.965	465.78
0.966	465.94
0.967	465.78
0.968	465.78
0.969	466.25
0.97	465.94
0.971	466.09
0.972	465.94
0.973	465.94
0.974	466.09
0.975	480.63
0.976	480.00
0.977	479.84
0.978	480.16
0.979	480.47
0.98	480.16
0.981	480.47
0.982	479.53
0.983	480.31
0.984	480.16
0.985	479.84
0.986	480.31
0.987	480.31
0.988	480.47
0.989	480.00
0.99	480.16
0.991	480.63
0.992	480.47
0.993	480.16
0.994	480.47
0.995	486.25
0.996	486.09
0.997	486.09
0.998	486.09
0.999	486.25
1.0	486.56
1.001	485.78
1.002	486.88
1.003	486.09
1.004	486.09
1.005	486.56
1.006	485.63
1.007	486.88
1.008	486.09
1.009	486.09
1.01	486.25
1.011	486.09
1.012	486.25
1.013	486.09
1.014	486.25
1.015	495.94
1.016	495.94
1.017	496.25
1.018	496.25
1.019	496.25
1.02	496.25
1.021	496.09
1.022	495.94
1.023	496.09
1.024	495.78
1.025	496.41
1.026	496.41
1.027	496.25
1.028	496.25
1.029	496.25
1.03	495.78
1.031	496.25
1.032	496.09
1.033	496.25
1.034	496.09
1.035	504.38
1.036	504.06
1.037	504.06
1.038	504.69
1.039	504.22
1.04	504.53
1.041	504.53
1.042	503.59
1.043	504.38
1.044	504.53
1.045	504.38
1.046	504.53
1.047	504.53
1.048	504.06
1.049	504.53
1.05	504.22
1.051	504.69
1.052	505.16
1.053	504.06
1.054	504.69
1.055	489.84
1.056	490.16
1.057	490.78
1.058	490.00
1.059	490.47
1.06	490.31
1.061	490.16
1.062	490.31
1.063	490.63
1.064	490.63
1.065	490.47
1.066	490.78
1.067	490.16
1.068	490.31
1.069	490.31
1.07	490.31
1.071	490.78
1.072	489.84
1.073	490.78
1.074	489.69
1.075	462.66
1.076	463.28
1.077	462.66
1.078	463.59
1.079	463.13
1.08	463.44
1.081	463.13
1.082	463.28
1.083	463.13
1.084	462.97
1.085	462.97
1.086	463.59
1.087	462.66
1.088	463.13
1.089	462.81
1.09	463.28
1.091	462.81
1.092	463.13
1.093	462.97
1.094	463.13
1.095	435.78
1.096	435.47
1.097	436.09
1.098	435.63
1.099	435.47
1.1	435.78
1.101	435.78
1.102	435.47
1.103	435.63
1.104	435.94
1.105	435.63
1.106	436.25
1.107	436.09
1.108	435.47
1.109	435.94
1.11	435.00
1.111	436.25
1.112	435.63
1.113	435.94
1.114	436.09
1.115	402.34
1.116	403.28
1.117	402.66
1.118	402.81
1.119	402.97
1.12	402.66
1.121	402.34
1.122	402.66
1.123	402.81
1.124	402.66
1.125	402.66
1.126	402.50
1.127	402.66
1.128	402.97
1.129	402.19
1.13	402.50
1.131	402.34
1.132	402.50
1.133	403.28
1.134	402.50
1.135	367.50
1.136	367.66
1.137	367.66
1.138	367.34
1.139	367.50
1.14	368.13
1.141	367.34
1.142	368.44
1.143	367.19
1.144	367.19
1.145	367.19
1.146	367.50
1.147	367.97
1.148	367.50
1.149	367.66
1.15	367.03
1.151	367.50
1.152	367.97
1.153	367.19
1.154	367.66
1.155	343.28
1.156	344.06
1.157	343.44
1.158	343.44
1.159	344.06
1.16	343.59
1.161	343.59
1.162	343.75
1.163	343.28
1.164	342.97
1.165	343.28
1.166	343.59
1.167	343.28
1.168	343.59
1.169	343.59
1.17	343.28
1.171	343.44
1.172	343.75
